                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99423,                   2.61,                 1.4678,                0.46257,                0.38554,                0.34631,                0.20099,                 1.7562,                 4.0416,                 2.3254,             0.00033097,             0.00033097,             0.00033097
                      2,                0.88356,                 1.4384,                  1.387,                   0.25,                0.49895,                 0.2194,                0.11938,                 1.6843,                 9.9535,                 2.1329,               0.000638,               0.000638,               0.000638
                      3,                0.90193,                 1.3964,                 1.4076,                0.72943,                0.53107,                0.60137,                0.42135,                 1.2167,                   1.55,                 1.7074,             0.00091862,             0.00091862,             0.00091862
                      4,                0.87169,                 1.2795,                 1.3697,                 0.8166,                0.52063,                0.63732,                0.46812,                 1.0936,                 1.4047,                 1.6562,              0.0008812,              0.0008812,              0.0008812
                      5,                0.82672,                 1.1817,                 1.3433,                0.81309,                0.58495,                0.66747,                0.51962,                0.99848,                 1.0868,                 1.4866,              0.0008416,              0.0008416,              0.0008416
                      6,                0.78579,                  1.082,                  1.309,                0.71657,                0.58993,                0.67281,                0.50755,                 1.0278,                 1.3297,                 1.4967,               0.000802,               0.000802,               0.000802
                      7,                0.75754,                 1.0344,                 1.2897,                 0.8453,                0.60592,                0.70327,                0.56682,                0.86159,                0.95044,                 1.3496,              0.0007624,              0.0007624,              0.0007624
                      8,                0.72237,                0.96354,                 1.2646,                0.82234,                0.56461,                 0.6764,                0.53378,                0.92099,                 1.0801,                 1.3618,              0.0007228,              0.0007228,              0.0007228
                      9,                 0.6987,                 0.9073,                 1.2453,                0.81703,                0.65491,                0.77208,                 0.6125,                 0.8088,                0.86024,                 1.2801,              0.0006832,              0.0006832,              0.0006832
                     10,                0.68322,                0.86812,                 1.2322,                0.86667,                0.69655,                 0.7986,                0.62986,                0.80285,                0.77097,                 1.2449,              0.0006436,              0.0006436,              0.0006436
                     11,                0.67147,                0.84165,                 1.2259,                0.84193,                0.65879,                0.78254,                0.63149,                0.77351,                0.78087,                 1.2266,               0.000604,               0.000604,               0.000604
                     12,                0.65693,                0.81813,                 1.2059,                0.89696,                0.64326,                0.79685,                 0.6461,                0.76634,                0.75335,                 1.2278,              0.0005644,              0.0005644,              0.0005644
                     13,                 0.6102,                0.74378,                 1.1817,                0.87012,                0.67908,                 0.8077,                0.64739,                0.75633,                 0.7667,                 1.1996,              0.0005248,              0.0005248,              0.0005248
                     14,                0.61838,                0.73651,                 1.1771,                0.83734,                0.68775,                0.80162,                0.64432,                0.74593,                0.76244,                 1.2068,              0.0004852,              0.0004852,              0.0004852
                     15,                0.59973,                 0.7065,                 1.1763,                 0.8519,                0.70874,                0.81983,                0.66514,                 0.7182,                0.71869,                 1.1649,              0.0004456,              0.0004456,              0.0004456
                     16,                 0.6487,                0.73769,                 1.2754,                0.90002,                0.68843,                0.83182,                0.67206,                0.72237,                0.68343,                 1.1636,               0.000406,               0.000406,               0.000406
                     17,                0.61164,                0.63156,                 1.2313,                 0.8769,                0.70795,                0.82853,                0.67612,                0.70158,                0.68046,                 1.1662,              0.0003664,              0.0003664,              0.0003664
                     18,                0.59856,                0.61119,                 1.2222,                0.89689,                0.71539,                0.83302,                0.68456,                0.69745,                0.66647,                 1.1542,              0.0003268,              0.0003268,              0.0003268
                     19,                0.57088,                0.56752,                  1.198,                0.87254,                0.72986,                0.84488,                0.69172,                0.69459,                0.66236,                 1.1469,              0.0002872,              0.0002872,              0.0002872
                     20,                0.55395,                0.53827,                 1.1809,                 0.8777,                0.75762,                0.86101,                0.70477,                0.67754,                0.64822,                 1.1391,              0.0002476,              0.0002476,              0.0002476
                     21,                0.53968,                0.51022,                 1.1618,                0.92136,                0.73382,                0.85968,                   0.71,                0.66665,                0.63627,                 1.1292,               0.000208,               0.000208,               0.000208
                     22,                0.51399,                0.46764,                  1.146,                0.90548,                0.73046,                0.85367,                 0.7049,                0.68002,                0.61276,                 1.1304,              0.0001684,              0.0001684,              0.0001684
                     23,                0.50571,                0.44934,                 1.1417,                0.88261,                0.77833,                0.86426,                  0.715,                0.64503,                0.63152,                 1.1113,              0.0001288,              0.0001288,              0.0001288
                     24,                0.48978,                0.42847,                 1.1218,                 0.8934,                0.76708,                0.86114,                 0.7105,                0.65171,                 0.6382,                 1.1225,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.46881,                0.41401,                 1.1059,                0.88154,                0.77809,                0.86251,                0.71709,                0.65397,                0.60865,                 1.1205,               4.96e-05,               4.96e-05,               4.96e-05
